DateTime,Location,Pollutant,Concentration,AQI
2017-05-01 14:00:00+02:00,Amsterdam-Stadhouderskade,PM25,7.1,1
2017-05-01 14:00:00+02:00,Amsterdam-Stadhouderskade,PM10,9.0,1
2017-05-01 14:00:00+02:00,Amsterdam-Stadhouderskade,FN,0.57,1
2017-05-01 14:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,0.42,1
2017-05-01 14:00:00+02:00,Amsterdam-Stadhouderskade,NO,7.2,1
2017-05-01 15:00:00+02:00,Amsterdam-Stadhouderskade,PM10,9.3,1
2017-05-01 15:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,0.42,1
2017-05-01 15:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,1.19,1
2017-05-01 15:00:00+02:00,Amsterdam-Stadhouderskade,PM25,9.2,1
2017-05-01 15:00:00+02:00,Amsterdam-Stadhouderskade,FN,0.67,1
2017-05-01 15:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,0.51,1
2017-05-01 15:00:00+02:00,Amsterdam-Stadhouderskade,NO,8.0,1
2017-05-01 15:00:00+02:00,Amsterdam-Stadhouderskade,NO2,29.7,3
2017-05-01 16:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,1.17,1
2017-05-01 16:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,3.18,2
2017-05-01 16:00:00+02:00,Amsterdam-Stadhouderskade,NO2,31.2,4
2017-05-01 16:00:00+02:00,Amsterdam-Stadhouderskade,PM25,8.5,1
2017-05-01 16:00:00+02:00,Amsterdam-Stadhouderskade,PM10,7.1,1
2017-05-01 16:00:00+02:00,Amsterdam-Stadhouderskade,FN,0.87,1
2017-05-01 16:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,0.81,1
2017-05-01 16:00:00+02:00,Amsterdam-Stadhouderskade,NO,8.9,1
2017-05-01 17:00:00+02:00,Amsterdam-Stadhouderskade,PM10,6.2,1
2017-05-01 17:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,1.29,1
2017-05-01 17:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,2.98,2
2017-05-01 17:00:00+02:00,Amsterdam-Stadhouderskade,NO2,25.9,3
2017-05-01 17:00:00+02:00,Amsterdam-Stadhouderskade,PM25,4.4,1
2017-05-01 17:00:00+02:00,Amsterdam-Stadhouderskade,FN,0.66,1
2017-05-01 17:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,0.77,1
2017-05-01 17:00:00+02:00,Amsterdam-Stadhouderskade,NO,8.8,1
2017-05-01 18:00:00+02:00,Amsterdam-Stadhouderskade,PM10,8.1,1
2017-05-01 18:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,1.97,1
2017-05-01 18:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,4.61,3
2017-05-01 18:00:00+02:00,Amsterdam-Stadhouderskade,NO2,28.0,3
2017-05-01 18:00:00+02:00,Amsterdam-Stadhouderskade,PM25,3.9,1
2017-05-01 18:00:00+02:00,Amsterdam-Stadhouderskade,FN,0.74,1
2017-05-01 18:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,1.09,1
2017-05-01 18:00:00+02:00,Amsterdam-Stadhouderskade,NO,12.3,2
2017-05-01 19:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,3.06,2
2017-05-01 19:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,5.7,4
2017-05-01 19:00:00+02:00,Amsterdam-Stadhouderskade,NO2,32.7,4
2017-05-01 19:00:00+02:00,Amsterdam-Stadhouderskade,PM25,6.3,1
2017-05-01 19:00:00+02:00,Amsterdam-Stadhouderskade,PM10,7.9,1
2017-05-01 19:00:00+02:00,Amsterdam-Stadhouderskade,FN,0.9,1
2017-05-01 19:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,1.26,1
2017-05-01 19:00:00+02:00,Amsterdam-Stadhouderskade,NO,12.6,2
2017-05-01 20:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,1.71,1
2017-05-01 20:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,3.46,2
2017-05-01 20:00:00+02:00,Amsterdam-Stadhouderskade,NO2,33.1,4
2017-05-01 20:00:00+02:00,Amsterdam-Stadhouderskade,PM25,8.3,1
2017-05-01 20:00:00+02:00,Amsterdam-Stadhouderskade,PM10,7.4,1
2017-05-01 20:00:00+02:00,Amsterdam-Stadhouderskade,FN,0.83,1
2017-05-01 20:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,0.95,1
2017-05-01 20:00:00+02:00,Amsterdam-Stadhouderskade,NO,10.3,2
2017-05-01 21:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,3.1,2
2017-05-01 21:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,5.68,4
2017-05-01 21:00:00+02:00,Amsterdam-Stadhouderskade,NO2,27.5,3
2017-05-01 21:00:00+02:00,Amsterdam-Stadhouderskade,PM25,8.0,1
2017-05-01 21:00:00+02:00,Amsterdam-Stadhouderskade,PM10,12.6,2
2017-05-01 21:00:00+02:00,Amsterdam-Stadhouderskade,FN,0.65,1
2017-05-01 21:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,1.32,1
2017-05-01 21:00:00+02:00,Amsterdam-Stadhouderskade,NO,2.2,1
2017-05-01 22:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,1.84,1
2017-05-01 22:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,3.81,2
2017-05-01 22:00:00+02:00,Amsterdam-Stadhouderskade,NO2,38.0,4
2017-05-01 22:00:00+02:00,Amsterdam-Stadhouderskade,PM25,8.8,1
2017-05-01 22:00:00+02:00,Amsterdam-Stadhouderskade,PM10,12.2,2
2017-05-01 22:00:00+02:00,Amsterdam-Stadhouderskade,FN,1.16,2
2017-05-01 22:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,1.12,1
2017-05-01 22:00:00+02:00,Amsterdam-Stadhouderskade,NO,1.5,1
2017-05-01 23:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,1.36,1
2017-05-01 23:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,3.09,2
2017-05-01 23:00:00+02:00,Amsterdam-Stadhouderskade,NO2,43.7,4
2017-05-01 23:00:00+02:00,Amsterdam-Stadhouderskade,PM25,9.9,1
2017-05-01 23:00:00+02:00,Amsterdam-Stadhouderskade,PM10,10.7,2
2017-05-01 23:00:00+02:00,Amsterdam-Stadhouderskade,FN,1.21,2
2017-05-01 23:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,0.88,1
2017-05-01 23:00:00+02:00,Amsterdam-Stadhouderskade,NO,2.7,1
2017-05-02 00:00:00+02:00,Amsterdam-Stadhouderskade,NO,0.8,1
2017-05-02 00:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,0.73,1
2017-05-02 00:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,1.76,1
2017-05-02 00:00:00+02:00,Amsterdam-Stadhouderskade,NO2,26.6,3
2017-05-02 00:00:00+02:00,Amsterdam-Stadhouderskade,PM25,8.4,1
2017-05-02 00:00:00+02:00,Amsterdam-Stadhouderskade,PM10,10.7,2
2017-05-02 00:00:00+02:00,Amsterdam-Stadhouderskade,FN,0.93,1
2017-05-02 00:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,0.65,1
2017-05-02 01:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,0.75,1
2017-05-02 01:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,1.85,1
2017-05-02 01:00:00+02:00,Amsterdam-Stadhouderskade,NO2,24.6,3
2017-05-02 01:00:00+02:00,Amsterdam-Stadhouderskade,PM25,10.5,2
2017-05-02 01:00:00+02:00,Amsterdam-Stadhouderskade,PM10,10.8,2
2017-05-02 01:00:00+02:00,Amsterdam-Stadhouderskade,FN,0.89,1
2017-05-02 01:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,0.69,1
2017-05-02 01:00:00+02:00,Amsterdam-Stadhouderskade,NO,0.9,1
2017-05-02 02:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,0.86,1
2017-05-02 02:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,2.27,2
2017-05-02 02:00:00+02:00,Amsterdam-Stadhouderskade,NO2,32.0,4
2017-05-02 02:00:00+02:00,Amsterdam-Stadhouderskade,PM25,14.5,2
2017-05-02 02:00:00+02:00,Amsterdam-Stadhouderskade,PM10,22.2,3
2017-05-02 02:00:00+02:00,Amsterdam-Stadhouderskade,FN,1.27,2
2017-05-02 02:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,0.86,1
2017-05-02 02:00:00+02:00,Amsterdam-Stadhouderskade,NO,4.7,1
2017-05-02 03:00:00+02:00,Amsterdam-Stadhouderskade,PM25,15.5,3
2017-05-02 03:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,1.2,1
2017-05-02 03:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,2.47,2
2017-05-02 03:00:00+02:00,Amsterdam-Stadhouderskade,NO2,33.5,4
2017-05-02 03:00:00+02:00,Amsterdam-Stadhouderskade,PM10,14.5,2
2017-05-02 03:00:00+02:00,Amsterdam-Stadhouderskade,FN,1.32,2
2017-05-02 03:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,0.84,1
2017-05-02 03:00:00+02:00,Amsterdam-Stadhouderskade,NO,5.1,1
2017-05-02 04:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,0.52,1
2017-05-02 04:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,1.33,1
2017-05-02 04:00:00+02:00,Amsterdam-Stadhouderskade,NO2,31.3,4
2017-05-02 04:00:00+02:00,Amsterdam-Stadhouderskade,PM25,21.2,4
2017-05-02 04:00:00+02:00,Amsterdam-Stadhouderskade,PM10,16.3,2
2017-05-02 04:00:00+02:00,Amsterdam-Stadhouderskade,FN,1.01,2
2017-05-02 04:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,0.58,1
2017-05-02 04:00:00+02:00,Amsterdam-Stadhouderskade,NO,3.6,1
2017-05-02 05:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,0.43,1
2017-05-02 05:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,1.28,1
2017-05-02 05:00:00+02:00,Amsterdam-Stadhouderskade,NO2,33.5,4
2017-05-02 05:00:00+02:00,Amsterdam-Stadhouderskade,PM25,22.3,4
2017-05-02 05:00:00+02:00,Amsterdam-Stadhouderskade,PM10,19.2,2
2017-05-02 05:00:00+02:00,Amsterdam-Stadhouderskade,FN,1.06,2
2017-05-02 05:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,0.59,1
2017-05-02 05:00:00+02:00,Amsterdam-Stadhouderskade,NO,7.4,1
2017-05-02 06:00:00+02:00,Amsterdam-Stadhouderskade,PM10,17.5,2
2017-05-02 06:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,0.49,1
2017-05-02 06:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,1.81,1
2017-05-02 06:00:00+02:00,Amsterdam-Stadhouderskade,NO2,33.4,4
2017-05-02 06:00:00+02:00,Amsterdam-Stadhouderskade,PM25,20.8,4
2017-05-02 06:00:00+02:00,Amsterdam-Stadhouderskade,FN,1.06,2
2017-05-02 06:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,0.59,1
2017-05-02 06:00:00+02:00,Amsterdam-Stadhouderskade,NO,5.7,1
2017-05-02 07:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,0.94,1
2017-05-02 07:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,1.9,1
2017-05-02 07:00:00+02:00,Amsterdam-Stadhouderskade,NO2,39.7,4
2017-05-02 07:00:00+02:00,Amsterdam-Stadhouderskade,PM25,21.7,4
2017-05-02 07:00:00+02:00,Amsterdam-Stadhouderskade,PM10,21.4,3
2017-05-02 07:00:00+02:00,Amsterdam-Stadhouderskade,FN,2.0,2
2017-05-02 07:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,0.63,1
2017-05-02 07:00:00+02:00,Amsterdam-Stadhouderskade,NO,22.5,2
2017-05-02 08:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,4.52,3
2017-05-02 08:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,2.19,2
2017-05-02 08:00:00+02:00,Amsterdam-Stadhouderskade,NO2,59.3,5
2017-05-02 08:00:00+02:00,Amsterdam-Stadhouderskade,PM25,24.8,4
2017-05-02 08:00:00+02:00,Amsterdam-Stadhouderskade,PM10,37.0,4
2017-05-02 08:00:00+02:00,Amsterdam-Stadhouderskade,FN,3.43,3
2017-05-02 08:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,1.21,1
2017-05-02 08:00:00+02:00,Amsterdam-Stadhouderskade,NO,60.1,4
2017-05-02 09:00:00+02:00,Amsterdam-Stadhouderskade,NO,35.7,3
2017-05-02 09:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,3.56,2
2017-05-02 09:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,6.6,4
2017-05-02 09:00:00+02:00,Amsterdam-Stadhouderskade,NO2,52.6,5
2017-05-02 09:00:00+02:00,Amsterdam-Stadhouderskade,PM25,31.0,5
2017-05-02 09:00:00+02:00,Amsterdam-Stadhouderskade,PM10,34.7,4
2017-05-02 09:00:00+02:00,Amsterdam-Stadhouderskade,FN,2.54,2
2017-05-02 09:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,1.97,1
2017-05-02 10:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,3.77,2
2017-05-02 10:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,2.16,2
2017-05-02 10:00:00+02:00,Amsterdam-Stadhouderskade,NO2,45.6,5
2017-05-02 10:00:00+02:00,Amsterdam-Stadhouderskade,PM25,20.4,4
2017-05-02 10:00:00+02:00,Amsterdam-Stadhouderskade,PM10,19.8,2
2017-05-02 10:00:00+02:00,Amsterdam-Stadhouderskade,FN,1.56,2
2017-05-02 10:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,1.22,1
2017-05-02 10:00:00+02:00,Amsterdam-Stadhouderskade,NO,32.7,3
2017-05-02 11:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,1.35,1
2017-05-02 11:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,2.97,2
2017-05-02 11:00:00+02:00,Amsterdam-Stadhouderskade,NO2,54.2,5
2017-05-02 11:00:00+02:00,Amsterdam-Stadhouderskade,PM25,26.6,4
2017-05-02 11:00:00+02:00,Amsterdam-Stadhouderskade,PM10,30.7,4
2017-05-02 11:00:00+02:00,Amsterdam-Stadhouderskade,FN,3.06,3
2017-05-02 11:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,1.06,1
2017-05-02 11:00:00+02:00,Amsterdam-Stadhouderskade,NO,62.5,4
2017-05-02 12:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,0.96,1
2017-05-02 12:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,2.35,2
2017-05-02 12:00:00+02:00,Amsterdam-Stadhouderskade,NO2,57.3,5
2017-05-02 12:00:00+02:00,Amsterdam-Stadhouderskade,PM25,31.4,5
2017-05-02 12:00:00+02:00,Amsterdam-Stadhouderskade,PM10,31.4,4
2017-05-02 12:00:00+02:00,Amsterdam-Stadhouderskade,FN,3.17,3
2017-05-02 12:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,1.15,1
2017-05-02 12:00:00+02:00,Amsterdam-Stadhouderskade,NO,59.0,4
2017-05-02 13:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,1.68,1
2017-05-02 13:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,3.41,2
2017-05-02 13:00:00+02:00,Amsterdam-Stadhouderskade,NO2,55.6,5
2017-05-02 13:00:00+02:00,Amsterdam-Stadhouderskade,PM25,30.7,5
2017-05-02 13:00:00+02:00,Amsterdam-Stadhouderskade,PM10,36.6,4
2017-05-02 13:00:00+02:00,Amsterdam-Stadhouderskade,FN,3.19,3
2017-05-02 13:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,1.53,1
2017-05-02 13:00:00+02:00,Amsterdam-Stadhouderskade,NO,49.7,3
2017-05-02 14:00:00+02:00,Amsterdam-Stadhouderskade,C8H10,1.38,1
2017-05-02 14:00:00+02:00,Amsterdam-Stadhouderskade,C7H8,3.25,2
2017-05-02 14:00:00+02:00,Amsterdam-Stadhouderskade,NO2,48.4,5
2017-05-02 14:00:00+02:00,Amsterdam-Stadhouderskade,PM25,35.1,5
2017-05-02 14:00:00+02:00,Amsterdam-Stadhouderskade,PM10,34.1,4
2017-05-02 14:00:00+02:00,Amsterdam-Stadhouderskade,FN,3.03,3
2017-05-02 14:00:00+02:00,Amsterdam-Stadhouderskade,C6H6,1.44,1
